Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
A,Common Stock,Agilent Technologies Inc,Agilent Technologies Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara California.,1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,5301 STEVENS CREEK BLVD SANTA CLARA CA US,October,2021-10-31,43835441000,1725000000,36.84,2.161,17.83,0.776,0.0058,3.94,20.79,0.192,0.222,0.0863,0.236,6319000000,3407000000,3.94,1.035,0.119,173.35,36.84,32.05,6.94,8.78,7.67,27.5,0.998,179.11,111.87,155.77,150.84,302001000,2022-01-26,2022-01-03
AA,Common Stock,Alcoa Corporation,Alcoa Corporation produces and sells bauxite alumina and aluminum products in the United States Spain Australia Brazil Canada and internationally. The company is headquartered in Pittsburgh Pennsylvania.,1675149,NYSE,USD,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,201 ISABELLA STREET SUITE 500 PITTSBURGH PA US,December,2021-09-30,11669615000,2216000000,14.43,-0.29,20.73,0.36,0.0068,4.323,59.99,0.0729,0.138,0.068,0.182,11204000000,1362000000,4.323,1.163,0.315,59.02,14.43,6.91,1.042,2.354,0.839,4.302,2.446,62.89,17.26,51.16,43.14,187103000,2021-11-19,2021-10-28
AAC,Common Stock,Ares Acquisition Corporation,Ares Acquisition Corporation focuses on effecting a merger stock exchange asset acquisition stock purchase reorganization or similar business combination with one or more businesses. The company is headquartered in New York New York.,1829432,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,245 PARK AVENUE 44TH FLOOR 245 PARK AVENUE 42ND FLOOR NEW YORK NY UNITED STATES,December,2021-12-31,1221250000,None,43.62,None,0.04,None,None,0.224,0,0,0,0,-99999.99,0,0,0.224,0,0,None,43.62,-,-,1.308,-,-,None,10,9.5,9.79,9.78,100000000,None,None
AACG,Common Stock,ATA Creativity Global,ATA Creativity Global provides educational services to individual students through its network of training centers in China. The company is headquartered in Beijing China.,1420529,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,8TH FLOOR TOWER E 6 GONGYUAN WEST ST. JIAN GUO MEN NEI BEIJING CHINA,December,2021-09-30,82835000,None,None,None,6.1,None,None,-0.312,6.11,-0.293,-0.484,-0.101,-0.24,190496000,57742000,-0.312,0,0.31,32.5,-,-,0.435,1.644,0.234,-,1.05,19.75,1,1.748,2.636,31376900,2018-08-24,2018-08-27
AAIC,Common Stock,Arlington Asset Investment Corp,Arlington Asset Investment Corp. ,1209028,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,6862 ELM STREET SUITE 320 MCLEAN VA US,December,2021-09-30,113011000,None,None,None,5.97,None,0.0915,-0.146,0.325,-0.176,-0.106,-0.0021,-0.0082,10703000,-55101000,-0.146,-0.563,-0.597,4.63,-,12.25,10.56,0.615,-,-,1.749,4.42,3.35,3.668,3.86,31479400,2020-02-03,2019-12-30
AAIN,Common Stock,AAIN,None,1209028,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,6862 ELM STREET SUITE 320 MCLEAN VA US,December,2021-09-30,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,25.5,23.3,24.9,24.94,0,2022-02-01,None
AAL,Common Stock,American Airlines Group Inc,American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth Texas.,6201,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,AIR TRANSPORTATION SCHEDULED,1 SKYVIEW DRIVE FORT WORTH TX US,December,2021-09-30,12484070000,4512000000,None,0.627,0.365,0,0,-5.18,39.18,-0.132,-0.283,-0.0661,0,24483000000,-5536000000,-5.18,0.188,1.827,19.11,-,909.09,0.51,-,1.788,179.83,1.661,26.09,14.88,18.82,20.69,647514000,2020-02-19,2020-02-04
AAMC,Common Stock,Altisource Asset Management Corporation,Altisource Asset Management Corporation an asset management company provides portfolio management and corporate governance services to institutional investors in the United States. The company is headquartered in Christiansted Virgin Islands.,1555074,NYSE MKT,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,5100 TAMARIND REEF CHRISTIANSTED VI,December,2021-09-30,36794500,-7291000,0.279,0,-128.11,None,0,64.12,-1.998,0,0,-0.142,0.0065,-3584000,-11977000,64.12,-0.339,0.008,None,0.279,-,2.367,-,0.727,17.99,1.113,31.89,12.54,20.35,19.62,2055600,None,None
AAME,Common Stock,Atlantic American Corporation,Atlantic American Corporation provides life and health insurance and property and casualty products in the United States. The company is headquartered in Atlanta Georgia.,8177,NASDAQ,USD,USA,FINANCE,LIFE INSURANCE,4370 PEACHTREE RD NE ATLANTA GA US,December,2021-09-30,59098000,19288000,4.723,0,6.87,0.02,0.0069,0.614,10.28,0.0642,0.0874,0.029,0.101,209754000,28661000,0.614,-0.546,0.065,None,4.723,-,0.282,0.542,0.454,-,0.126,7.81,2.189,3.702,3.994,20378600,2021-04-27,2021-04-12
AAN,Common Stock,Aarons Company Inc (The),The Aarons Company Inc. offers purchase and leasing solutions with an option to buy. The company is headquartered in Atlanta Georgia.,1821393,NYSE,USD,USA,TRADE & SERVICES,SERVICES-EQUIPMENT RENTAL & LEASING NEC,400 GALLERIA PARKWAY SE SUITE 300 ATLANTA GA UNITED STATES,December,2021-09-30,747411000,830330000,8.4,1.35,22.71,0.3,0.0164,2.826,54.44,0.0527,0.133,0.0983,0.133,1830874000,1083542000,2.826,-0.24,0.025,33.5,8.4,10.16,0.408,1.063,0.57,1.453,1.998,37.08,16.4,24.6,28.22,31483200,2022-01-04,2021-12-15
