A,AgilentTechnologiesInc,AgilentTechnologiesInc.isanAmericananalyticalinstrumentationdevelopmentandmanufacturingcompanythatoffersitsproductsandservicestomarketsworldwide.ItsglobalheadquartersislocatedinSantaClaraCalifornia.,NYSE,LIFESCIENCES,INSTRUMENTSFORMEASTESTINGOFELECTRICITYELECSIGNALS,38039106000,295702000
AA,AlcoaCorp,AlcoaCorporationproducesandsellsbauxitealuminaandaluminumproductsintheUnitedStatesSpainAustraliaBrazilCanadaandinternationally.ThecompanyisheadquarteredinPittsburghPennsylvania.,NYSE,MANUFACTURING,PRIMARYPRODUCTIONOFALUMINUM,6363563000,178401000
AAC,AACHoldingsInc,AresAcquisitionCorporationfocusesoneffectingamergerstockexchangeassetacquisitionstockpurchasereorganizationorsimilarbusinesscombinationwithoneormorebusinesses.ThecompanyisheadquarteredinNewYorkNewYork.,NYSE,REALESTATECONSTRUCTION,BLANKCHECKS,754530000,46997100
AACG,ATAInc,ATACreativityGlobalprovideseducationalservicestoindividualstudentsthroughitsnetworkoftrainingcentersinChina.ThecompanyisheadquarteredinBeijingChina.,NASDAQ,TRADESERVICES,SERVICES-EDUCATIONALSERVICES,48958100,31585900
AACI,ArmadaAcquisitionCorpI,None,NASDAQ,REALESTATECONSTRUCTION,BLANKCHECKS,212272000,20709500
AADI,AadiBioscienceInc,None,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,207959000,24437000
AAIC,ArlingtonAssetInvestmentCorp,ArlingtonAssetInvestmentCorp.,NYSE,REALESTATECONSTRUCTION,REALESTATEINVESTMENTTRUSTS,77707000,28360400
AAIN,AAIN,None,NYSE,REALESTATECONSTRUCTION,REALESTATEINVESTMENTTRUSTS,None,0
AAL,AmericanAirlinesGroup,AmericanAirlinesGroupInc.isanAmericanpubliclytradedairlineholdingcompanyheadquarteredinFortWorthTexas.,NASDAQ,ENERGYTRANSPORTATION,AIRTRANSPORTATIONSCHEDULED,9185782000,652863000
AAME,AtlanticAmericanCorporation,AtlanticAmericanCorporationprovideslifeandhealthinsuranceandpropertyandcasualtyproductsintheUnitedStates.ThecompanyisheadquarteredinAtlantaGeorgia.,NASDAQ,FINANCE,LIFEINSURANCE,43789500,20367200
AAN,AaronsInc,TheAaronsCompanyInc.offerspurchaseandleasingsolutionswithanoptiontobuy.ThecompanyisheadquarteredinAtlantaGeorgia.,NYSE,TRADESERVICES,SERVICES-EQUIPMENTRENTALLEASINGNEC,394086000,30908700
AAOI,AppliedOpt,AppliedOptoelectronicsInc.designsmanufacturesandsellsvariousfiberopticnetworkingproductsglobally.ThecompanyisheadquarteredinSugarLandTexas.,NASDAQ,MANUFACTURING,SEMICONDUCTORSRELATEDDEVICES,50217000,29195700
AAON,AAONInc,AAONInc.engagesintheengineeringmanufacturingmarketingandsalesofheatingandairconditioningequipmentintheUnitedStatesandCanada.ThecompanyisheadquarteredinTulsaOklahoma.,NASDAQ,TECHNOLOGY,AIR-CONDWARMAIRHEATGEQUIPCOMMINDLREFRIGEQUIP,4877860000,54253000
AAP,AdvanceAutoPartsInc,AdvanceAutoPartsInc.AdvanceisanAmericanautomotiveaftermarketpartsprovider.HeadquarteredinRaleighNorthCarolinaitservesbothprofessionalinstalleranddo-it-yourselfDIYcustomers.,NYSE,TRADESERVICES,RETAIL-AUTOHOMESUPPLYSTORES,6940667000,59274000
AAPL,AppleInc,AppleInc.isanAmericanmultinationaltechnologycompanythatspecializesinconsumerelectronicscomputersoftwareandonlineservices.Appleistheworldslargesttechnologycompanybyrevenuetotalling274.5billionin2020andsinceJanuary2021theworldsmostvaluablecompany.Asof2021Appleistheworldsfourth-largestPCvendorbyunitsalesandfourth-largestsmartphonemanufacturer.ItisoneoftheBigFiveAmericaninformationtechnologycompaniesalongwithAmazonGoogleMicrosoftandFacebook.,NASDAQ,TECHNOLOGY,ELECTRONICCOMPUTERS,2698415702000,15728700000
AAT,AmericanAssetsTrustInc,AmericanAssetsTrustInc.isaself-managedverticallyintegratedfull-servicerealestateinvestmenttrustorREITbasedinSanDiegoCalifornia.,NYSE,REALESTATECONSTRUCTION,REALESTATEINVESTMENTTRUSTS,1506440000,60717000
AB,AllianceBernsteinHoldingL.P.,AllianceBernsteinHoldingLPisapubliclyownedinvestmentmanager.ThecompanyisheadquarteredinNewYorkNewYork.,NYSE,FINANCE,INVESTMENTADVICE,3870657000,113376000
ABBV,AbbVieInc,AbbVieisanAmericanpubliclytradedbiopharmaceuticalcompanyfoundedin2013.Itoriginatedasaspin-offofAbbottLaboratories.,NYSE,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,255645614000,1764290000
ABC,AmerisourceBergen,AmerisourceBergenCorporationisanAmericandrugwholesalecompanythatwasformedbythemergerofBergenBrunswigandAmeriSourcein2001.,NYSE,TRADESERVICES,WHOLESALE-DRUGSPROPRIETARIESDRUGGISTSSUNDRIES,34824298000,202173000
ABCB,AmerisBancorp,AmerisBancorpisthebankingholdingcompanyforAmerisBankprovidingarangeofbankingservicestoretailandbusinessclientsprimarilyinGeorgiaAlabamaFloridaandSouthCarolina.ThecompanyisheadquarteredinAtlantaGeorgia.,NASDAQ,FINANCE,STATECOMMERCIALBANKS,2274076000,69374000
